PV,0.108742490021719
Inter,0.2
PHP,0.0326374843115503
PHS,0.00188416520205027
BP,0.00140722153566053
BS,0.0138021052066805
KDPE,0.00159164337729241
TEPA,0.00194534190557961
SEME,0.00106109558486161
MEJO,0.00200429166029415
PESE,0.00206324141500868
SBSW,0.00795821688646206
KTTE,0.00159164337729241
PASE,0.00159164337729241
JOSW,0.120374390105882
THKD,0.0257485326429694
INSE,0.0334730924358603
PHSB,0.0579341984466813
ACPV,0.000447653950448754
Hydro,0.05
Bio,0.101
GasCap,0.0721683748862089
GasFuel,0.113
PHES-VOM,0.0003
B-VOM,0
LegPH,0
LegINTC,0
